"RelativePath","SizeBytes","LastWriteTime"
"_quarantine\STEP62_backend_modules_old_20260428_164243\challenge.js","2240","2026-04-28 10:06:39"
"_quarantine\STEP62_backend_modules_old_20260428_164243\credits.js","1141","2026-04-28 10:06:39"
"_quarantine\STEP62_backend_modules_old_20260428_164243\deathcounter_v2.js","44986","2026-04-28 10:06:39"
"_quarantine\STEP62_backend_modules_old_20260428_164243\diagnostics.js","872","2026-04-28 10:06:39"
"_quarantine\STEP62_backend_modules_old_20260428_164243\discord.js","16630","2026-04-28 10:06:39"
"_quarantine\STEP62_backend_modules_old_20260428_164243\discord.js.bak_step21","16120","2026-04-28 10:06:39"
"_quarantine\STEP62_backend_modules_old_20260428_164243\event_dispatcher.js","8608","2026-04-28 11:43:47"
"_quarantine\STEP62_backend_modules_old_20260428_164243\fireworks_api.js","1416","2026-04-28 10:06:39"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helper_selftest.js","9477","2026-04-28 11:29:30"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\chat_helper.js","2881","2026-04-28 11:00:47"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\config_helper.js","4210","2026-04-28 11:00:47"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\file_helper.js","3930","2026-04-28 11:11:58"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\helper_config.js","8419","2026-04-28 13:57:24"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\helper_cooldown.js","6197","2026-04-28 12:50:12"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\helper_core.js","4226","2026-04-28 10:06:39"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\helper_media.js","4774","2026-04-28 12:50:25"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\helper_messages.js","4104","2026-04-28 12:49:47"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\helper_queue.js","3836","2026-04-28 12:50:13"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\helper_routes.js","2075","2026-04-28 10:06:39"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\helper_security.js","8706","2026-04-28 10:06:39"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\helper_state.js","4683","2026-04-28 12:49:47"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\helper_texts.js","9847","2026-04-28 10:06:39"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\http_helper.js","2423","2026-04-28 11:12:14"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\logger_helper.js","3057","2026-04-28 11:11:58"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\path_helper.js","2664","2026-04-28 11:12:14"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\response_helper.js","2942","2026-04-28 11:00:47"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\state_helper.js","2307","2026-04-28 11:12:30"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\streamerbot_helper.js","2591","2026-04-28 11:12:30"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\time_cooldown_helper.js","3473","2026-04-28 11:00:47"
"_quarantine\STEP62_backend_modules_old_20260428_164243\helpers\twitch_user_helper.js","4807","2026-04-28 11:00:47"
